TIME,LASTNAME,HAS_PROPERTY,PROPERTY,IS_RENTING,RENTED_PROPERTY,PURCHASING_POWER,NET_MONTHLY_INCOME
35,Moreno,YES,0,NO,,812.5290534824156,5.7459474876428525
35,Vanegas,NO,,YES,1,13295.929966075892,79.49732252506483
36,Moreno,YES,0,NO,,958.1147160424183,6.558476541125268
36,Vanegas,NO,,YES,1,15678.240807966846,92.79325249114072
37,Moreno,YES,0,NO,,1131.0983955686984,7.516591257167686
37,Vanegas,NO,,YES,1,18508.8828365787,108.47149329910756
38,Moreno,YES,0,NO,,1336.8217890191693,8.647689652736386
38,Vanegas,NO,,YES,1,21875.265638495497,126.98037613568627
39,Moreno,YES,0,NO,,1581.6982407172216,9.984511441755554
39,Vanegas,NO,,YES,1,25882.33484809999,148.85564177418178
40,Moreno,YES,0,NO,,1873.4329478567174,11.566209682472776
40,Vanegas,NO,,YES,1,30656.175510382647,174.73797662228176
41,Moreno,YES,0,NO,,2221.289361056928,13.439642630329493
41,Vanegas,NO,,YES,1,36348.371362749735,205.3941521326644
42,Moreno,YES,0,NO,,2636.411648968856,15.66093199138642
42,Vanegas,NO,,YES,1,43141.28152858128,241.74252349541413
43,Moreno,YES,0,NO,,3132.2152389247317,18.297343640355276
43,Vanegas,NO,,YES,1,51254.4311824047,284.8838050239954
44,Moreno,YES,0,NO,,3724.860060841721,21.42955887928001
44,Vanegas,NO,,YES,1,60952.25554104634,336.1382362064001
45,Moreno,YES,0,NO,,4433.82431450421,25.15441894012173
45,Vanegas,NO,,YES,1,72553.48878279615,397.09049174744644
46,Moreno,YES,0,NO,,5282.600480267744,29.58824325462594
46,Vanegas,NO,,YES,1,86442.55331347218,469.6439805302426
47,Moreno,YES,0,NO,,6299.540058762507,34.87084373489368
47,Vanegas,NO,,YES,1,103083.38277975011,556.0865338437147
48,Moreno,YES,0,NO,,7518.879350949316,41.17038379365619
48,Vanegas,NO,,YES,1,123036.2075609888,659.1699166234648
49,Moreno,YES,0,NO,,8981.985714802786,48.689263144605505
49,Vanegas,NO,,YES,1,146977.94806040922,782.2061241844536
